rating,reviewer_id,date,review_title,review_body,category,score_gemini,score_groq,tokens,bing_prediction,swn_prediction
1.0,danette,2026-02-11,,hate store since jan 27th 2026i cancel reotder ridiculously 3 4xs bcz competent employees customer service stire 233262 stire never evercanswers phone mean not single dept end call ure 80023 10xs order bcz answer phone im oxygen cumbersome go store carry items let alone 2 case water u dont hire staff help answer phone u go lose customers ive decide shop elsewhere ure price keep go price higher grocery store u r actially price gouge customers im goingvto report company im people,food,3.0,1.0,"['hate', 'store', 'since', 'jan', '27th', '2026i', 'cancel', 'reotder', 'ridiculously', '3', '4xs', 'bcz', 'competent', 'employees', 'customer', 'service', 'stire', '233262', 'stire', 'never', 'evercanswers', 'phone', 'mean', 'not', 'single', 'dept', 'end', 'call', 'ure', '80023', '10xs', 'order', 'bcz', 'answer', 'phone', 'im', 'oxygen', 'cumbersome', 'go', 'store', 'carry', 'items', 'let', 'alone', '2', 'case', 'water', 'u', 'dont', 'hire', 'staff', 'help', 'answer', 'phone', 'u', 'go', 'lose', 'customers', 'ive', 'decide', 'shop', 'elsewhere', 'ure', 'price', 'keep', 'go', 'price', 'higher', 'grocery', 'store', 'u', 'r', 'actially', 'price', 'gouge', 'customers', 'im', 'goingvto', 'report', 'company', 'im', 'people']",negative,negative
5.0,melody,2026-03-01,,understand hoopla certain type unhealthy cook oil commit healthier lifestyle yeah right stand aisle read every vegetable oil label honestly great value vegetable oil nearly brand 100 veg oil healthiest kind healthiest affordable im,food,5.0,5.0,"['understand', 'hoopla', 'certain', 'type', 'unhealthy', 'cook', 'oil', 'commit', 'healthier', 'lifestyle', 'yeah', 'right', 'stand', 'aisle', 'read', 'every', 'vegetable', 'oil', 'label', 'honestly', 'great', 'value', 'vegetable', 'oil', 'nearly', 'brand', '100', 'veg', 'oil', 'healthiest', 'kind', 'healthiest', 'affordable', 'im']",positive,positive
4.0,ryan,2025-10-03,great value vegetable oil 48 fl oz,giant jug great value vegetable oil crucial component college experience specifically deepfrying freeze chicken nuggets attempt make actual food first time 48 fl oz size ensure wont panicbuy oil least month two give priorities minor miracle thank walmart provide necessary fuel inevitable culinary disasters,food,4.0,5.0,"['giant', 'jug', 'great', 'value', 'vegetable', 'oil', 'crucial', 'component', 'college', 'experience', 'specifically', 'deepfrying', 'freeze', 'chicken', 'nuggets', 'attempt', 'make', 'actual', 'food', 'first', 'time', '48', 'fl', 'oz', 'size', 'ensure', 'wont', 'panicbuy', 'oil', 'least', 'month', 'two', 'give', 'priorities', 'minor', 'miracle', 'thank', 'walmart', 'provide', 'necessary', 'fuel', 'inevitable', 'culinary', 'disasters']",positive,positive
5.0,sherene,2025-09-23,,love affordable product easy use cook package durable safe taste ok wont burn first use reuse least 2 time always continue use buy cook family thank great value families appreciate,food,5.0,5.0,"['love', 'affordable', 'product', 'easy', 'use', 'cook', 'package', 'durable', 'safe', 'taste', 'ok', 'wont', 'burn', 'first', 'use', 'reuse', 'least', '2', 'time', 'always', 'continue', 'use', 'buy', 'cook', 'family', 'thank', 'great', 'value', 'families', 'appreciate']",positive,positive
1.0,chris,2025-09-24,,vegetable oil run mill vegetable oil affordable im walmart cancel delivery order without warn without attempt reschedule cancel mine recently mean hold money 10 business days thats right cancel order hold money ive call bank cant anything walmart control transaction not no groceries 200 additional amount charge time hold unavailable ten business days youre better use amazon doordash dont bother especially live norfolk va use tidewater drive store particularly bad,food,1.0,1.0,"['vegetable', 'oil', 'run', 'mill', 'vegetable', 'oil', 'affordable', 'im', 'walmart', 'cancel', 'delivery', 'order', 'without', 'warn', 'without', 'attempt', 'reschedule', 'cancel', 'mine', 'recently', 'mean', 'hold', 'money', '10', 'business', 'days', 'thats', 'right', 'cancel', 'order', 'hold', 'money', 'ive', 'call', 'bank', 'cant', 'anything', 'walmart', 'control', 'transaction', 'not', 'no', 'groceries', '200', 'additional', 'amount', 'charge', 'time', 'hold', 'unavailable', 'ten', 'business', 'days', 'youre', 'better', 'use', 'amazon', 'doordash', 'dont', 'bother', 'especially', 'live', 'norfolk', 'va', 'use', 'tidewater', 'drive', 'store', 'particularly', 'bad']",negative,negative
5.0,arnetta,2025-10-13,great quality value goto cook oil,ive buy great value vegetable oil years never disappoint perfect everyday cookingwhether im fry bake saute oil neutral flavor doesnt overpower food heat evenly 48 fl oz size great deal price last good kitchen bottle easy pour store overall affordable reliable staple home cook,food,4.0,5.0,"['ive', 'buy', 'great', 'value', 'vegetable', 'oil', 'years', 'never', 'disappoint', 'perfect', 'everyday', 'cookingwhether', 'im', 'fry', 'bake', 'saute', 'oil', 'neutral', 'flavor', 'doesnt', 'overpower', 'food', 'heat', 'evenly', '48', 'fl', 'oz', 'size', 'great', 'deal', 'price', 'last', 'good', 'kitchen', 'bottle', 'easy', 'pour', 'store', 'overall', 'affordable', 'reliable', 'staple', 'home', 'cook']",positive,positive
1.0,laiila,2024-01-18,,im 1000 sure suppose sort safety self vegetable oil ill definitely discard waste money,food,5.0,1.0,"['im', '1000', 'sure', 'suppose', 'sort', 'safety', 'self', 'vegetable', 'oil', 'ill', 'definitely', 'discard', 'waste', 'money']",negative,negative
1.0,tranquilus,2025-10-18,great value vegetable oil review,oil contribute rectal bleed may cause type bleed consume small amount two spoon daily basis,food,1.0,1.0,"['oil', 'contribute', 'rectal', 'bleed', 'may', 'cause', 'type', 'bleed', 'consume', 'small', 'amount', 'two', 'spoon', 'daily', 'basis']",neutral,neutral
4.0,wanda,2025-10-30,,use deep fry actually better pan fry right seal whatever youre fry buttermilk flour doesnt soak near much oil try,food,1.0,5.0,"['use', 'deep', 'fry', 'actually', 'better', 'pan', 'fry', 'right', 'seal', 'whatever', 'youre', 'fry', 'buttermilk', 'flour', 'doesnt', 'soak', 'near', 'much', 'oil', 'try']",neutral,neutral
5.0,anita,2025-11-05,,like vegetable oil best unless make italian food use olive oil use great value brand always think better brand 26 think try,food,1.0,5.0,"['like', 'vegetable', 'oil', 'best', 'unless', 'make', 'italian', 'food', 'use', 'olive', 'oil', 'use', 'great', 'value', 'brand', 'always', 'think', 'better', 'brand', '26', 'think', 'try']",positive,positive
5.0,dawn,2025-11-18,great value vegetable oil,vegetable oil work great namebrand products cheaper heat well doesnt smoke high heat not leave oily taste foods would recommend vegetable oil,food,3.0,5.0,"['vegetable', 'oil', 'work', 'great', 'namebrand', 'products', 'cheaper', 'heat', 'well', 'doesnt', 'smoke', 'high', 'heat', 'not', 'leave', 'oily', 'taste', 'foods', 'would', 'recommend', 'vegetable', 'oil']",neutral,positive
5.0,moneq,2026-02-16,great value great choice,theres no difference national brand versus store brand price use cook bake need ive never issue product,food,4.0,5.0,"['theres', 'no', 'difference', 'national', 'brand', 'versus', 'store', 'brand', 'price', 'use', 'cook', 'bake', 'need', 'ive', 'never', 'issue', 'product']",positive,negative
5.0,shari,2025-12-12,,im always careful order store brand verse name brand bake lot need products good name brand product great value vegetable oil stand brand vegetable oil use highly recommend,food,5.0,5.0,"['im', 'always', 'careful', 'order', 'store', 'brand', 'verse', 'name', 'brand', 'bake', 'lot', 'need', 'products', 'good', 'name', 'brand', 'product', 'great', 'value', 'vegetable', 'oil', 'stand', 'brand', 'vegetable', 'oil', 'use', 'highly', 'recommend']",positive,positive
5.0,gil,2025-12-15,,ive use oil great value brand exactly higher price brand no doubt everyone buy brand try sure not disappoint trust,food,4.0,5.0,"['ive', 'use', 'oil', 'great', 'value', 'brand', 'exactly', 'higher', 'price', 'brand', 'no', 'doubt', 'everyone', 'buy', 'brand', 'try', 'sure', 'not', 'disappoint', 'trust']",positive,positive
5.0,brenda,2025-11-06,,need print receipt online purchase love associate deliver purchase directly door older woman disability husband not help,food,3.0,5.0,"['need', 'print', 'receipt', 'online', 'purchase', 'love', 'associate', 'deliver', 'purchase', 'directly', 'door', 'older', 'woman', 'disability', 'husband', 'not', 'help']",positive,positive
5.0,mary,2025-10-19,love walmart,no dislike convenient n price reasonable compare big store recommend walmart shoppers look good deal n delivery respectful n prompt 5 star,food,2.0,5.0,"['no', 'dislike', 'convenient', 'n', 'price', 'reasonable', 'compare', 'big', 'store', 'recommend', 'walmart', 'shoppers', 'look', 'good', 'deal', 'n', 'delivery', 'respectful', 'n', 'prompt', '5', 'star']",positive,positive
5.0,amanda,2025-10-22,please delivery easy order,really appreciate delivery options make grocery shop breeze delivery person bring apartment 3rd floor deserve best tip,food,5.0,5.0,"['really', 'appreciate', 'delivery', 'options', 'make', 'grocery', 'shop', 'breeze', 'delivery', 'person', 'bring', 'apartment', '3rd', 'floor', 'deserve', 'best', 'tip']",positive,positive
5.0,stephen,2025-11-02,,one things buy price use olive oil things still like vegetable oil fry fry chicken dont use much buy bargain,food,5.0,5.0,"['one', 'things', 'buy', 'price', 'use', 'olive', 'oil', 'things', 'still', 'like', 'vegetable', 'oil', 'fry', 'fry', 'chicken', 'dont', 'use', 'much', 'buy', 'bargain']",positive,positive
5.0,ennestine,2025-10-23,vegetable oil great product,walmart great store great vegetable oil great product vegetable oil cook crispy drip good use,food,5.0,1.0,"['walmart', 'great', 'store', 'great', 'vegetable', 'oil', 'great', 'product', 'vegetable', 'oil', 'cook', 'crispy', 'drip', 'good', 'use']",positive,positive
1.0,michelle,2025-11-18,,order afternoon say would no later 10pm day follow day noon still havent receive review something never get,food,1.0,1.0,"['order', 'afternoon', 'say', 'would', 'no', 'later', '10pm', 'day', 'follow', 'day', 'noon', 'still', 'havent', 'receive', 'review', 'something', 'never', 'get']",neutral,neutral
2.0,ulrike,2025-12-10,short not sweet,get pay thing say items not leave delivery person item purchase personally,food,1.0,1.0,"['get', 'pay', 'thing', 'say', 'items', 'not', 'leave', 'delivery', 'person', 'item', 'purchase', 'personally']",neutral,neutral
5.0,dayna,2025-12-08,,plastic bottle issue open older people side become soft slip hand oily taste good price great,food,3.0,4.0,"['plastic', 'bottle', 'issue', 'open', 'older', 'people', 'side', 'become', 'soft', 'slip', 'hand', 'oily', 'taste', 'good', 'price', 'great']",positive,positive
5.0,marv,2025-12-12,,buy vegetable oil terrible cook super unhealthy invent farm machine lubricate also earwigs attract things make decent trap vegetable oil,food,1.0,1.0,"['buy', 'vegetable', 'oil', 'terrible', 'cook', 'super', 'unhealthy', 'invent', 'farm', 'machine', 'lubricate', 'also', 'earwigs', 'attract', 'things', 'make', 'decent', 'trap', 'vegetable', 'oil']",negative,negative
5.0,bliss,2026-02-04,,oil look feel perform exactly expect would use sweet bread cookies cornbread cake turn great im go continue use go ahead try,food,5.0,5.0,"['oil', 'look', 'feel', 'perform', 'exactly', 'expect', 'would', 'use', 'sweet', 'bread', 'cookies', 'cornbread', 'cake', 'turn', 'great', 'im', 'go', 'continue', 'use', 'go', 'ahead', 'try']",positive,positive
4.0,mark,2026-02-24,drip catch rim top,find product useful many cook need small critique pore would nice drip rim add,food,3.0,4.0,"['find', 'product', 'useful', 'many', 'cook', 'need', 'small', 'critique', 'pore', 'would', 'nice', 'drip', 'rim', 'add']",positive,positive
5.0,shannon,2026-02-28,cook oil,not something use daily basis dont use daily really last couple months one hundred percent recommend use,food,5.0,5.0,"['not', 'something', 'use', 'daily', 'basis', 'dont', 'use', 'daily', 'really', 'last', 'couple', 'months', 'one', 'hundred', 'percent', 'recommend', 'use']",negative,positive
5.0,mary,2025-12-28,,sound not go place walmart shop love quality staff great place able find everything need go store store thank walmart,food,5.0,5.0,"['sound', 'not', 'go', 'place', 'walmart', 'shop', 'love', 'quality', 'staff', 'great', 'place', 'able', 'find', 'everything', 'need', 'go', 'store', 'store', 'thank', 'walmart']",neutral,positive
5.0,julie,2025-12-28,good basic oil,low bad stuff not suppose use make french fry hash brown fine container sturdy pretty easy pour little thats ya need,food,4.0,4.0,"['low', 'bad', 'stuff', 'not', 'suppose', 'use', 'make', 'french', 'fry', 'hash', 'brown', 'fine', 'container', 'sturdy', 'pretty', 'easy', 'pour', 'little', 'thats', 'ya', 'need']",negative,positive
3.0,debbi,2026-01-02,watch fat content good oil,would not recommend youll diabetic better not use time watch oli saturate fat oil okay need something quick fix fry,food,1.0,2.0,"['would', 'not', 'recommend', 'youll', 'diabetic', 'better', 'not', 'use', 'time', 'watch', 'oli', 'saturate', 'fat', 'oil', 'okay', 'need', 'something', 'quick', 'fix', 'fry']",negative,positive
5.0,tanya,2026-01-01,,great value vegetable oil great use cook bake need things pricey lately nice cost effective options quality brand,food,5.0,5.0,"['great', 'value', 'vegetable', 'oil', 'great', 'use', 'cook', 'bake', 'need', 'things', 'pricey', 'lately', 'nice', 'cost', 'effective', 'options', 'quality', 'brand']",positive,positive
1.0,helen,2026-01-12,unorded item,not order item oil try look order review cannot bring return item not use item use crisco will wait next order get credit,food,5.0,1.0,"['not', 'order', 'item', 'oil', 'try', 'look', 'order', 'review', 'cannot', 'bring', 'return', 'item', 'not', 'use', 'item', 'use', 'crisco', 'will', 'wait', 'next', 'order', 'get', 'credit']",positive,negative
5.0,patrick,2026-01-05,,handicap unable drive walmart groceries need walmart one place would shop personal need life thank walmart everyone employees,food,1.0,5.0,"['handicap', 'unable', 'drive', 'walmart', 'groceries', 'need', 'walmart', 'one', 'place', 'would', 'shop', 'personal', 'need', 'life', 'thank', 'walmart', 'everyone', 'employees']",neutral,neutral
4.0,lmme,2026-01-14,cook oil,cook oil comparable name brand oil price little cheaper isnt light crisco oil since shoestring budget choose save wherever,food,3.0,4.0,"['cook', 'oil', 'comparable', 'name', 'brand', 'oil', 'price', 'little', 'cheaper', 'isnt', 'light', 'crisco', 'oil', 'since', 'shoestring', 'budget', 'choose', 'save', 'wherever']",neutral,neutral
5.0,lori,2025-10-21,great oil great price,use great value vegetable oil bake fry see no difference quality taste expensive name brand think price make best option vegetable oil,food,5.0,5.0,"['use', 'great', 'value', 'vegetable', 'oil', 'bake', 'fry', 'see', 'no', 'difference', 'quality', 'taste', 'expensive', 'name', 'brand', 'think', 'price', 'make', 'best', 'option', 'vegetable', 'oil']",positive,positive
5.0,ruby,2026-02-09,great value vegetable oil,great value cook oil great fry bake light taste serve purpose expensive brand lower price,food,5.0,5.0,"['great', 'value', 'cook', 'oil', 'great', 'fry', 'bake', 'light', 'taste', 'serve', 'purpose', 'expensive', 'brand', 'lower', 'price']",positive,positive
5.0,dana,2026-02-09,good product,great value basic bake pantry staple good quality affordable great way keep items need bake cook meals always hand quality consistent make loyal purchaser,food,5.0,4.0,"['great', 'value', 'basic', 'bake', 'pantry', 'staple', 'good', 'quality', 'affordable', 'great', 'way', 'keep', 'items', 'need', 'bake', 'cook', 'meals', 'always', 'hand', 'quality', 'consistent', 'make', 'loyal', 'purchaser']",positive,positive
5.0,anonymous,2026-01-18,vegetable cook oil,vegetable cook oil not much else say work advertise light cook oil opinion doesnt give food flavor kinda thing like,food,2.0,4.0,"['vegetable', 'cook', 'oil', 'not', 'much', 'else', 'say', 'work', 'advertise', 'light', 'cook', 'oil', 'opinion', 'doesnt', 'give', 'food', 'flavor', 'kinda', 'thing', 'like']",negative,positive
5.0,jennifer,2026-02-05,good stuff,good quality oil size work use quite bite oil bake oil great hand please highly recommend,food,3.0,5.0,"['good', 'quality', 'oil', 'size', 'work', 'use', 'quite', 'bite', 'oil', 'bake', 'oil', 'great', 'hand', 'please', 'highly', 'recommend']",positive,positive
